date,username,polarity_score
2020-01-01,aantonop,0.0
2020-01-01,alysekilleen,0.3999999999999999
2020-01-01,balajis,0.0
2020-01-01,cointelegraph,0.03333333333333333
2020-01-01,danheld,0.04333333333333334
2020-01-01,dtapcap,0.1
2020-01-01,erikvoorhees,0.0
2020-01-01,excellion,0.3787878787878788
2020-01-01,jespow,0.0
2020-01-01,jgarzik,0.0
2020-01-01,lopp,0.24606060606060604
2020-01-01,neerajka,0.0
2020-01-01,nlw,0.027976839826839822
2020-01-01,paoloardoino,0.1782828282828283
2020-01-01,scottmelker,0.038392857142857124
2020-01-01,tyler,0.0
2020-01-01,vitalikbuterin,0.0
2020-01-02,aantonop,0.0
2020-01-02,adam3us,0.24914965986394558
2020-01-02,apompliano,-0.046875
2020-01-02,balajis,0.0
2020-01-02,bitcoinmagazine,0.0
2020-01-02,brucefenton,0.31875
2020-01-02,cburniske,-0.0486111111111111
2020-01-02,cointelegraph,0.018371212121212132
2020-01-02,danheld,0.0
2020-01-02,erikvoorhees,0.0
2020-01-02,excellion,-0.2916666666666667
2020-01-02,gladstein,0.0
2020-01-02,lopp,-0.005357142857142858
2020-01-02,mikejcasey,-0.1
2020-01-02,muneeb,0.0
2020-01-02,paoloardoino,0.1405833333333333
2020-01-02,petermccormack,-0.04999999999999999
2020-01-02,pwuille,0.012010101010101004
2020-01-02,rogerkver,0.1666666666666666
2020-01-02,satoshilite,0.5
2020-01-02,scottmelker,0.0
2020-01-02,thestalwart,-0.21875
2020-01-02,vinnylingham,0.0
2020-01-02,vitalikbuterin,0.0
2020-01-02,woonomic,-0.02777777777777775
2020-01-03,aantonop,0.0
2020-01-03,apompliano,0.1486531986531986
2020-01-03,bitcoinmagazine,0.3041666666666667
2020-01-03,blockstream,0.0
2020-01-03,brucefenton,0.09196428571428569
2020-01-03,cobie,0.1694444444444444
2020-01-03,coinbase,0.0
2020-01-03,coindesk,0.0
2020-01-03,cointelegraph,-0.07512121212121212
2020-01-03,dtapcap,0.02
2020-01-03,erikvoorhees,0.1
2020-01-03,fintechfrank,0.1361111111111111
2020-01-03,haydenzadams,0.0
2020-01-03,jgarzik,0.175
2020-01-03,mikejcasey,0.8
2020-01-03,morcosa,-0.0999999999999999
2020-01-03,nickszabo4,0.12142857142857134
2020-01-03,novogratz,0.3
2020-01-03,petermccormack,-0.05357142857142855
2020-01-03,rogerkver,-0.0216666666666666
2020-01-03,sbf_ftx,0.03125
2020-01-03,scottmelker,0.030370370370370395
2020-01-03,thestalwart,0.25
2020-01-03,tuurdemeester,0.025
2020-01-03,woonomic,0.3
2020-01-04,aantonop,0.0
2020-01-04,adam3us,0.0991908482142857
2020-01-04,austinhill,0.0
2020-01-04,bitcoinmagazine,0.025
2020-01-04,blockstream,0.8
2020-01-04,brucefenton,0.17979864785420338
2020-01-04,coinbase,0.2
2020-01-04,coindesk,0.1
2020-01-04,cointelegraph,0.04427083333333334
2020-01-04,danheld,0.211038961038961
2020-01-04,excellion,0.0625
2020-01-04,fintechfrank,0.0
2020-01-04,gladstein,0.2
2020-01-04,haydenzadams,-0.2541666666666666
2020-01-04,jackmallers,0.315
2020-01-04,lopp,0.21875
2020-01-04,nickszabo4,0.0
2020-01-04,nlw,0.1125
2020-01-04,paoloardoino,0.6000000000000001
2020-01-04,petermccormack,0.032629870129870106
2020-01-04,pwuille,0.15606060606060604
2020-01-04,raoulgmi,0.2142857142857142
2020-01-04,rogerkver,0.2
2020-01-04,scottmelker,0.18333333333333332
2020-01-04,thestalwart,0.09404761904761899
2020-01-04,vinnylingham,0.8
2020-01-05,aantonop,-0.2
2020-01-05,adam3us,0.06509803921568626
2020-01-05,apompliano,0.2564814814814815
2020-01-05,balajis,0.11458333333333334
2020-01-05,brucefenton,0.4291666666666666
2020-01-05,cburniske,-0.15
2020-01-05,coindesk,0.0
2020-01-05,cointelegraph,0.06919642857142855
2020-01-05,erikvoorhees,0.0
2020-01-05,excellion,0.0625
2020-01-05,fintechfrank,0.1956439393939394
2020-01-05,gladstein,0.11666666666666665
2020-01-05,jillrgunter,0.1071428571428571
2020-01-05,lopp,0.15833333333333333
2020-01-05,nickszabo4,0.0
2020-01-05,paoloardoino,0.35
2020-01-05,petermccormack,-0.22000000000000003
2020-01-05,pwuille,0.2
2020-01-05,rogerkver,0.0
2020-01-05,scottmelker,0.03125
2020-01-05,thestalwart,0.8
2020-01-05,woonomic,-0.0125
2020-01-06,adam3us,-0.11111111111111106
2020-01-06,austinhill,0.1666666666666666
2020-01-06,bitcoinmagazine,-0.008333333333333352
2020-01-06,brucefenton,0.0943563988095238
2020-01-06,cobie,0.0733333333333333
2020-01-06,coindesk,0.08666666666666667
2020-01-06,cointelegraph,-0.043518518518518526
2020-01-06,cryptomanran,0.075
2020-01-06,danheld,0.06666666666666667
2020-01-06,erikvoorhees,0.1284722222222222
2020-01-06,excellion,0.0875
2020-01-06,fintechfrank,-0.09722222222222222
2020-01-06,jessewldn,0.4333333333333333
2020-01-06,jillrgunter,0.05416666666666668
2020-01-06,kyletorpey,-0.1333333333333334
2020-01-06,lopp,0.8
2020-01-06,paoloardoino,0.06666666666666667
2020-01-06,petermccormack,0.018999333999333994
2020-01-06,sbf_ftx,-0.25
2020-01-06,scottmelker,0.061666666666666675
2020-01-06,vitalikbuterin,-0.0375
2020-01-07,adam3us,-0.16015625000000003
2020-01-07,apompliano,0.23409090909090907
2020-01-07,balajis,0.00902777777777775
2020-01-07,brucefenton,0.18482142857142855
2020-01-07,coindesk,0.0507142857142857
