date,polarity_score
2020-01-01,0.07593450577200576
2020-01-02,0.04060563371813372
2020-01-03,0.07911793673698435
2020-01-04,0.12366716586288953
2020-01-05,0.08406726303210678
2020-01-06,0.04372748735090507
2020-01-07,0.04776232004429678
2020-01-08,0.09009695630829652
2020-01-09,0.06997921585989766
2020-01-10,0.04804434473705307
2020-01-11,0.09014760702260702
2020-01-12,0.09706536345598846
2020-01-13,0.0642534632034632
2020-01-14,0.0807922118916437
2020-01-15,0.05952099967933301
2020-01-16,0.06558483900033193
2020-01-17,0.07281074367442901
2020-01-18,0.050621378621378624
2020-01-19,0.08688511050353154
2020-01-20,0.03662962245051797
2020-01-21,0.061269624819624814
2020-01-22,0.07443099146224146
2020-01-23,0.0876567192192192
2020-01-24,0.0474524087024087
2020-01-25,0.06531262883941455
2020-01-26,0.06071070473644003
2020-01-27,0.0888992009039179
2020-01-28,0.08813280359990885
2020-01-29,0.04592833800186741
2020-01-30,0.059322257828751335
2020-01-31,0.07013244348244348
2020-02-01,0.10126294932265081
2020-02-02,0.09889163746306603
2020-02-03,0.07634959159496196
2020-02-04,0.036937541625041634
2020-02-05,0.09377879939854729
2020-02-06,0.0907768087855297
2020-02-07,0.09194687558817992
2020-02-08,0.033840576090576086
2020-02-09,0.05521452779676463
2020-02-10,0.1090458410636982
2020-02-11,0.05828611457036113
2020-02-12,0.08848351087115132
2020-02-13,0.04072395382395382
2020-02-14,0.05017591116148808
2020-02-15,0.13953213453213453
2020-02-16,0.12176075233446053
2020-02-17,0.06043313249453599
2020-02-18,-0.007993381232964574
2020-02-19,0.11182952223793807
2020-02-20,0.09539120916961825
2020-02-21,0.07351165223665222
2020-02-22,0.10051845202553329
2020-02-23,0.07666647863076434
2020-02-24,0.02648484848484848
2020-02-25,0.08957952409432672
2020-02-26,0.07895972554953137
2020-02-27,0.06427049596494039
2020-02-28,0.03595922595922596
2020-02-29,0.07535862354892205
2020-03-01,0.06040526437847867
2020-03-02,-0.01969704184704184
2020-03-03,0.06894149236352205
2020-03-04,0.02849356661856662
2020-03-05,0.036734574206484315
2020-03-06,0.002784399637499361
2020-03-07,0.03977859830801007
2020-03-08,-0.009740281827016528
2020-03-09,0.032909380797773655
2020-03-10,0.06957469937469937
2020-03-11,0.06878800561417749
2020-03-12,0.04200986779774658
2020-03-13,0.04625318501409106
2020-03-14,0.05829480068542569
2020-03-15,-0.011624296183119713
2020-03-16,0.07894297491723962
2020-03-17,0.05926331770081769
2020-03-18,0.05773624986124985
