id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1528156651341197312,1528156651341197312	,2022-05-22 07:31:52 Malay Peninsula Standard Time,2022-05-22,07:31:52,+0800,2361631088,cathiedwood,Cathie Wood,,"Thank you, @RaoulGMI, for being a truth teller and a visionary. You are new DNA in the investment world. Your critics are old DNA. You are looking to the future. They are stuck in the past. The future of investing is investing in the future!",en,['raoulgmi'],[],[],624,174,2025,[],[],https://twitter.com/CathieDWood/status/1528156651341197312,,https://twitter.com/RaoulGMI/status/1526182429337305091,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1527138557093105667,1527138551128899585	,2022-05-19 12:06:19 Malay Peninsula Standard Time,2022-05-19,12:06:19,+0800,2361631088,cathiedwood,Cathie Wood,,I trust that Fed Chairman Powell and the Federal Reserve Governors and Presidents are evaluating more than the short term supply chain bottlenecks that may have been caused by over- ordering and now are showing up Walmart’s and Target’s record-breaking inventories!,en,[],[],[],161,77,1038,[],[],https://twitter.com/CathieDWood/status/1527138557093105667,,,0,,,,,,,,"{'user_id': '2361631088', 'username': 'CathieDWood'}",,,,
1527138556191379456,1527138551128899585	,2022-05-19 12:06:19 Malay Peninsula Standard Time,2022-05-19,12:06:19,+0800,2361631088,cathiedwood,Cathie Wood,,"Consistent with this line of thinking, credit default swaps - the price of insurance policies against default as measured by Markit - are surging, the yield curve is flattening - portending disappointing growth and/or lower inflation - and stock prices are plummeting.",en,[],[],[],43,47,692,[],[],https://twitter.com/CathieDWood/status/1527138556191379456,,,0,,,,,,,,"{'user_id': '2361631088', 'username': 'CathieDWood'}",,,,
1527138555314724864,1527138551128899585	,2022-05-19 12:06:19 Malay Peninsula Standard Time,2022-05-19,12:06:19,+0800,2361631088,cathiedwood,Cathie Wood,,"Now that the growth in M2 has declined to low single digits at an annualized rate during the last few months, if the velocity of money does decline, then we will be facing the risk of price deflation.",en,[],[],[],17,27,402,[],[],https://twitter.com/CathieDWood/status/1527138555314724864,,,0,,,,,,,,"{'user_id': '2361631088', 'username': 'CathieDWood'}",,,,
1527138554442301440,1527138551128899585	,2022-05-19 12:06:18 Malay Peninsula Standard Time,2022-05-19,12:06:18,+0800,2361631088,cathiedwood,Cathie Wood,,"I believe that, after flattening out for the past two years, the velocity of money will resume the decline that started in 1997 and accelerated during the coronavirus. The dramatic decline in consumer sentiment and spending during the last few months corroborates this thinking.",en,[],[],[],11,16,419,[],[],https://twitter.com/CathieDWood/status/1527138554442301440,,,0,,,,,,,,"{'user_id': '2361631088', 'username': 'CathieDWood'}",,,,
1527138553548922880,1527138551128899585	,2022-05-19 12:06:18 Malay Peninsula Standard Time,2022-05-19,12:06:18,+0800,2361631088,cathiedwood,Cathie Wood,,US consumer sentiment as measured by the University of Michigan - the best measure in my experience - has plunged to levels not seen since the 2008-09 global financial crisis. Consumers are rebelling against their loss of purchasing power.,en,[],[],[],17,42,633,[],[],https://twitter.com/CathieDWood/status/1527138553548922880,,,0,,,,,,,,"{'user_id': '2361631088', 'username': 'CathieDWood'}",,,,
1527138552642936833,1527138551128899585	,2022-05-19 12:06:18 Malay Peninsula Standard Time,2022-05-19,12:06:18,+0800,2361631088,cathiedwood,Cathie Wood,,"Walmart’s inventories increased 33% in nominal terms on a year over year basis, translating into 20-25% in real or unit terms, as Target’s inventories increased by 42% and 30-35%, respectively. In my 45 years in this business, I have never seen such inventory excesses.",en,[],[],[],32,70,716,[],[],https://twitter.com/CathieDWood/status/1527138552642936833,,,0,,,,,,,,"{'user_id': '2361631088', 'username': 'CathieDWood'}",,,,
1527138551128899585,1527138551128899585	,2022-05-19 12:06:18 Malay Peninsula Standard Time,2022-05-19,12:06:18,+0800,2361631088,cathiedwood,Cathie Wood,,"Important debate. In the last two days, Walmart and Target reported that nominal sales increased 3-4% on a year over year basis during the quarter ended April, translating into a 3-4% year over year decline in unit sales (adjusted for inflation). Their inventories are exploding.",en,[],[],[],208,352,2644,[],[],https://twitter.com/CathieDWood/status/1527138551128899585,,https://twitter.com/realMeetKevin/status/1526284407035858944,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1527118883290742786,1527118883290742786	,2022-05-19 10:48:08 Malay Peninsula Standard Time,2022-05-19,10:48:08,+0800,2361631088,cathiedwood,Cathie Wood,,Ridiculous. Not worthy of any other response.,en,[],[],[],1349,2142,25727,[],[],https://twitter.com/CathieDWood/status/1527118883290742786,,https://twitter.com/EricBalchunas/status/1526952515090120704,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1525665849163534337,1525665849163534337	,2022-05-15 10:34:18 Malay Peninsula Standard Time,2022-05-15,10:34:18,+0800,2361631088,cathiedwood,Cathie Wood,,"Humble, wise, and brilliant.",en,[],[],[],226,166,1977,[],[],https://twitter.com/CathieDWood/status/1525665849163534337,,https://twitter.com/yassineARK/status/1524547376073039876,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1525244980171784192,1525244980171784192	,2022-05-14 06:41:55 Malay Peninsula Standard Time,2022-05-14,06:41:55,+0800,2361631088,cathiedwood,Cathie Wood,,Check out @GrousARK’s charts on the shift from bricks and mortar retail to online storefronts that will turn retail rents into online advertising during the next five years.,en,['grousark'],[],[],127,64,497,[],[],https://twitter.com/CathieDWood/status/1525244980171784192,,https://twitter.com/ARKInvest/status/1525221869414191108,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1524577320631164933,1524577320631164933	,2022-05-12 10:28:53 Malay Peninsula Standard Time,2022-05-12,10:28:53,+0800,2361631088,cathiedwood,Cathie Wood,,"Thank you @freshjiva. Stocks sold off after the tech/telecom bubble because the ""dream"" would not become reality for 20-25 years. Genomic sequencing, adaptive robotics, energy storage, AI, and blockchain technology are realities, their stocks seemingly in deep value territory.",en,['freshjiva'],[],[],410,212,1840,[],[],https://twitter.com/CathieDWood/status/1524577320631164933,,https://twitter.com/freshjiva/status/1524449624190291973,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1523439741542100992,1523439741542100992	,2022-05-09 07:08:33 Malay Peninsula Standard Time,2022-05-09,07:08:33,+0800,2361631088,cathiedwood,Cathie Wood,,"Naysayers lump Zoom $ZM into profit less tech, concept capital, stay at home stocks. Along with Microsoft, we believe that Zoom will be a prime beneficiary of the first “rip and replace” cycle since the early nineties in the $1.5 trillion global enterprise communications space.",en,[],[],[],412,98,1164,[],['ZM'],https://twitter.com/CathieDWood/status/1523439741542100992,,https://twitter.com/summerlinARK/status/1522676741474557952,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
