date,username,sentiment_score
2020-01-07,muneeb,0.6369
2020-01-07,neerajka,-0.015074999999999991
2020-01-07,nickszabo4,0.6033999999999999
2020-01-07,nlw,0.31245
2020-01-07,paoloardoino,0.0
2020-01-07,petermccormack,-0.0691
2020-01-07,raoulgmi,0.4019
2020-01-07,rogerkver,0.0
2020-01-07,scottmelker,0.12917857142857142
2020-01-07,thestalwart,-0.057050000000000003
2020-01-07,tuurdemeester,0.4588
2020-01-07,woonomic,-0.0772
2020-01-08,adam3us,0.108
2020-01-08,bitcoinmagazine,0.1909
2020-01-08,brianbrooksus,0.0
2020-01-08,brucefenton,0.3028454545454546
2020-01-08,coindesk,0.15265
2020-01-08,cointelegraph,0.10985384615384615
2020-01-08,cryptomanran,-0.4404
2020-01-08,danheld,-0.26726666666666665
2020-01-08,dtapcap,0.47015
2020-01-08,erikvoorhees,0.0
2020-01-08,excellion,0.0
2020-01-08,fintechfrank,0.46857499999999996
2020-01-08,gladstein,0.0
2020-01-08,jackmallers,0.0
2020-01-08,jchervinsky,0.7717
2020-01-08,jillrgunter,0.0
2020-01-08,kyletorpey,-0.35015
2020-01-08,lopp,0.79325
2020-01-08,neerajka,0.1366
2020-01-08,nlw,0.17105
2020-01-08,petermccormack,0.07206666666666667
2020-01-08,scottmelker,0.2788
2020-01-08,thestalwart,-0.2553
2020-01-08,tuurdemeester,-0.6808
2020-01-09,aantonop,0.15022
2020-01-09,adam3us,0.045933333333333326
2020-01-09,alysekilleen,0.2023
2020-01-09,balajis,0.34626666666666667
2020-01-09,bitcoinmagazine,0.0
2020-01-09,blockstream,0.148
2020-01-09,brucefenton,0.51565
2020-01-09,coindesk,-0.05869999999999999
2020-01-09,cointelegraph,0.06003000000000001
2020-01-09,cryptomanran,0.0
2020-01-09,danheld,0.4066599999999999
2020-01-09,dtapcap,0.38585
2020-01-09,excellion,0.0
2020-01-09,fintechfrank,0.22905
2020-01-09,jgarzik,0.6293
2020-01-09,lopp,0.3213333333333333
2020-01-09,neerajka,-0.0791
2020-01-09,nlw,0.3947
2020-01-09,novogratz,0.0
2020-01-09,paoloardoino,-0.128
2020-01-09,petermccormack,0.021166666666666667
2020-01-09,sbf_ftx,0.0
2020-01-09,scottmelker,0.035583333333333335
2020-01-09,thestalwart,0.0
2020-01-09,tuurdemeester,0.4588
2020-01-09,vitalikbuterin,0.4404
2020-01-09,woonomic,0.4215
2020-01-10,aantonop,0.0258
2020-01-10,adam3us,0.27225
2020-01-10,apompliano,0.073375
2020-01-10,billbarhydt,-0.11315
2020-01-10,bitcoinmagazine,0.03423333333333333
2020-01-10,blockstream,0.0
2020-01-10,brucefenton,0.19130000000000003
2020-01-10,cburniske,0.18777142857142856
2020-01-10,coinbase,0.7269
2020-01-10,coindesk,-0.13233333333333333
2020-01-10,cointelegraph,-0.029022222222222227
2020-01-10,danheld,0.31245
2020-01-10,elonmusk,0.4404
2020-01-10,jessewldn,0.3612
2020-01-10,lopp,-0.34
2020-01-10,muneeb,0.41125
2020-01-10,neerajka,0.4404
2020-01-10,nickszabo4,0.34149999999999997
2020-01-10,nlw,0.0
2020-01-10,paoloardoino,0.7584
2020-01-10,petermccormack,0.0
2020-01-10,sbf_ftx,0.3182
2020-01-10,scottmelker,0.15019166666666667
2020-01-10,starkness,-0.4939
2020-01-10,woonomic,-0.2732
2020-01-11,aantonop,0.0593
2020-01-11,adam3us,0.08849047619047619
2020-01-11,apompliano,0.743
2020-01-11,balajis,0.765
2020-01-11,bitcoinmagazine,0.0
2020-01-11,blockstream,0.0
2020-01-11,brucefenton,0.4389
2020-01-11,coindesk,0.0
2020-01-11,cointelegraph,0.31594545454545453
2020-01-11,danheld,0.2635
2020-01-11,dtapcap,0.54135
2020-01-11,fintechfrank,-0.063425
2020-01-11,jessewldn,0.409
2020-01-11,jillrgunter,0.0
2020-01-11,lopp,0.7572
2020-01-11,mikejcasey,0.4404
2020-01-11,neerajka,0.17
2020-01-11,nickszabo4,-0.0516
2020-01-11,scottmelker,0.5310125
2020-01-11,starkness,0.7845
2020-01-11,thestalwart,0.09345
2020-01-11,woonomic,0.1366
2020-01-12,aantonop,0.06743333333333333
2020-01-12,adam3us,0.023825
2020-01-12,apompliano,0.3071
2020-01-12,brucefenton,0.44145384615384614
2020-01-12,cobie,0.0
2020-01-12,coindesk,0.2997
2020-01-12,cointelegraph,0.04986666666666666
2020-01-12,danheld,0.4012833333333334
2020-01-12,dtapcap,0.5574
2020-01-12,erikvoorhees,0.7923
2020-01-12,excellion,-0.5719
2020-01-12,fintechfrank,0.15248
2020-01-12,lopp,0.2732
2020-01-12,nickszabo4,0.6124
2020-01-12,nlw,0.3612
2020-01-12,petermccormack,0.0021000000000000077
2020-01-12,scottmelker,0.21874444444444446
2020-01-12,thestalwart,-0.21619999999999998
2020-01-13,aantonop,0.23653333333333335
2020-01-13,adam3us,0.2709333333333333
2020-01-13,apompliano,-0.1027
2020-01-13,bitcoinmagazine,0.2732
2020-01-13,brucefenton,0.52362
2020-01-13,cobie,-0.6705
2020-01-13,coindesk,-0.34
2020-01-13,cointelegraph,-0.11294545454545456
2020-01-13,danheld,0.2406
2020-01-13,fintechfrank,0.0
2020-01-13,neerajka,-0.3818
2020-01-13,nlw,0.20812
2020-01-13,scottmelker,0.45499999999999996
2020-01-13,tyler,0.8805
2020-01-13,vitalikbuterin,0.0
2020-01-14,adam3us,0.4688
2020-01-14,alysekilleen,0.3818
2020-01-14,apompliano,0.3417333333333334
2020-01-14,bitcoinmagazine,0.32985
2020-01-14,blockstream,0.0
2020-01-14,brucefenton,0.28138
2020-01-14,coindesk,0.26555
2020-01-14,cointelegraph,0.10581818181818183
2020-01-14,cryptohayes,0.4767
2020-01-14,danheld,0.2043846153846154
2020-01-14,dtapcap,0.3182
2020-01-14,erikvoorhees,0.0
2020-01-14,fintechfrank,0.25358
2020-01-14,gladstein,-0.5267
