username,id,count,follow_by1,follow_by2,follow_by3,follow_by4,total_follow_by,iteration
billbarhydt,"896141	",54,"APompliano,novogratz,tyler,SBF_FTX,balajis,saylor,jespow,cameron,SatoshiLite,NeerajKA,RaoulGMI,CaitlinLong_,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,FEhrsam,DocumentingBTC,danheld","pmarca,TuurDemeester,PeterMcCormack,Blockstream,lopp,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,punk6529,gladstein,cdixon,natbrunell,Scaramucci","VinnyLingham,muneeb,CremeDeLaCrypto,valkenburgh,NickSzabo4,bendavenport,mikejcasey,paoloardoino,austinhill,DTAPCAP","cburniske,kyletorpey,jillrgunter,AaronvanW,TheStalwart","APompliano,novogratz,tyler,SBF_FTX,balajis,saylor,jespow,cameron,SatoshiLite,NeerajKA,RaoulGMI,CaitlinLong_,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,FEhrsam,DocumentingBTC,danheld,pmarca,TuurDemeester,PeterMcCormack,Blockstream,lopp,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,punk6529,gladstein,cdixon,natbrunell,Scaramucci,VinnyLingham,muneeb,CremeDeLaCrypto,valkenburgh,NickSzabo4,bendavenport,mikejcasey,paoloardoino,austinhill,DTAPCAP,cburniske,kyletorpey,jillrgunter,AaronvanW,TheStalwart",3
bhorowitz,"16242081	",51,"APompliano,novogratz,tyler,SBF_FTX,brian_armstrong,balajis,saylor,jespow,cameron,SatoshiLite,chamath,RaoulGMI,twobitidiot,ErikVoorhees,Melt_Dem,cryptomanran,FEhrsam","pmarca,CathieDWood,TuurDemeester,PeterMcCormack,Blockstream,AriDavidPaul,jerallaire,FrancisSuarez,brucefenton,davidmarcus,nlw,jgarzik,punk6529,cdixon,fredwilson,BrianBrooksUS,Scaramucci","ethereumJoseph,katie_haun,roasbeef,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,bendavenport,mikejcasey,billbarhydt,austinhill,DTAPCAP","cburniske,DavidSacks,kyletorpey,AaronvanW,jessewldn","APompliano,novogratz,tyler,SBF_FTX,brian_armstrong,balajis,saylor,jespow,cameron,SatoshiLite,chamath,RaoulGMI,twobitidiot,ErikVoorhees,Melt_Dem,cryptomanran,FEhrsam,pmarca,CathieDWood,TuurDemeester,PeterMcCormack,Blockstream,AriDavidPaul,jerallaire,FrancisSuarez,brucefenton,davidmarcus,nlw,jgarzik,punk6529,cdixon,fredwilson,BrianBrooksUS,Scaramucci,ethereumJoseph,katie_haun,roasbeef,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,bendavenport,mikejcasey,billbarhydt,austinhill,DTAPCAP,cburniske,DavidSacks,kyletorpey,AaronvanW,jessewldn",3
paoloardoino,"109404961	",54,"APompliano,novogratz,SBF_FTX,saylor,jespow,NeerajKA,nayibbukele,RaoulGMI,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,zhusu","LynAldenContact,TuurDemeester,PeterMcCormack,Blockstream,lopp,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,jgarzik,gladstein,jchervinsky,natbrunell,Scaramucci","roasbeef,muneeb,fintechfrank,CremeDeLaCrypto,AlyseKilleen,bendavenport,billbarhydt,austinhill,DTAPCAP","cburniske,kyletorpey,msantoriESQ,AaronvanW,TheStalwart","APompliano,novogratz,SBF_FTX,saylor,jespow,NeerajKA,nayibbukele,RaoulGMI,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,zhusu,LynAldenContact,TuurDemeester,PeterMcCormack,Blockstream,lopp,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,jgarzik,gladstein,jchervinsky,natbrunell,Scaramucci,roasbeef,muneeb,fintechfrank,CremeDeLaCrypto,AlyseKilleen,bendavenport,billbarhydt,austinhill,DTAPCAP,cburniske,kyletorpey,msantoriESQ,AaronvanW,TheStalwart",3
austinhill,"806689	",49,"tyler,balajis,jespow,NeerajKA,CaitlinLong_,twobitidiot,ErikVoorhees,BitcoinMagazine,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld","LynAldenContact,TuurDemeester,PeterMcCormack,lopp,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,jgarzik,punk6529,jackmallers,gladstein,cdixon,natbrunell","jerrybrito,ethereumJoseph,roasbeef,morcosa,VinnyLingham,CremeDeLaCrypto,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,DTAPCAP","cburniske,kyletorpey,msantoriESQ,AaronvanW,TheStalwart,jessewldn","tyler,balajis,jespow,NeerajKA,CaitlinLong_,twobitidiot,ErikVoorhees,BitcoinMagazine,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,LynAldenContact,TuurDemeester,PeterMcCormack,lopp,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,jgarzik,punk6529,jackmallers,gladstein,cdixon,natbrunell,jerrybrito,ethereumJoseph,roasbeef,morcosa,VinnyLingham,CremeDeLaCrypto,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,DTAPCAP,cburniske,kyletorpey,msantoriESQ,AaronvanW,TheStalwart,jessewldn",3
DTAPCAP,"1001490017917784064	",46,"APompliano,novogratz,tyler,saylor,jespow,cameron,RaoulGMI,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,DocumentingBTC,danheld,zhusu","pmarca,CathieDWood,LynAldenContact,TuurDemeester,PeterMcCormack,adam3us,starkness,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,jchervinsky,cdixon,natbrunell,Scaramucci","VinnyLingham,fintechfrank,CremeDeLaCrypto,AlyseKilleen,NickSzabo4,bendavenport,billbarhydt,austinhill","cburniske,kyletorpey","APompliano,novogratz,tyler,saylor,jespow,cameron,RaoulGMI,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,nic__carter,scottmelker,cryptomanran,DocumentingBTC,danheld,zhusu,pmarca,CathieDWood,LynAldenContact,TuurDemeester,PeterMcCormack,adam3us,starkness,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,jchervinsky,cdixon,natbrunell,Scaramucci,VinnyLingham,fintechfrank,CremeDeLaCrypto,AlyseKilleen,NickSzabo4,bendavenport,billbarhydt,austinhill,cburniske,kyletorpey",3
cburniske,"710463119886262272	",63,"cz_binance,APompliano,novogratz,VitalikButerin,BarrySilbert,balajis,saylor,jespow,NeerajKA,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,twobitidiot,ErikVoorhees,woonomic,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,danheld,zhusu","pmarca,CathieDWood,TuurDemeester,Blockstream,rogerkver,AriDavidPaul,jerallaire,brucefenton,nlw,jgarzik,punk6529,jackmallers,jchervinsky,cdixon,fredwilson,natbrunell","jerrybrito,ethereumJoseph,katie_haun,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,bendavenport,mikejcasey,billbarhydt,bhorowitz,paoloardoino,austinhill,DTAPCAP","DavidSacks,msantoriESQ,jillrgunter,AaronvanW,TheStalwart,jessewldn,haydenzadams","cz_binance,APompliano,novogratz,VitalikButerin,BarrySilbert,balajis,saylor,jespow,NeerajKA,RaoulGMI,CaitlinLong_,cobie,TheCryptoDog,twobitidiot,ErikVoorhees,woonomic,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,danheld,zhusu,pmarca,CathieDWood,TuurDemeester,Blockstream,rogerkver,AriDavidPaul,jerallaire,brucefenton,nlw,jgarzik,punk6529,jackmallers,jchervinsky,cdixon,fredwilson,natbrunell,jerrybrito,ethereumJoseph,katie_haun,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,bendavenport,mikejcasey,billbarhydt,bhorowitz,paoloardoino,austinhill,DTAPCAP,DavidSacks,msantoriESQ,jillrgunter,AaronvanW,TheStalwart,jessewldn,haydenzadams",4
DavidSacks,"1137701	",56,"APompliano,novogratz,tyler,brian_armstrong,balajis,jack,saylor,jespow,cameron,chamath,NeerajKA,TheCryptoDog,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,danheld","pmarca,PeterMcCormack,Blockstream,lopp,rogerkver,starkness,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,jgarzik,punk6529,cdixon","jerrybrito,ethereumJoseph,katie_haun,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,NickSzabo4,bendavenport,mikejcasey,billbarhydt,bhorowitz,austinhill,DTAPCAP","cburniske,kyletorpey,jessewldn","APompliano,novogratz,tyler,brian_armstrong,balajis,jack,saylor,jespow,cameron,chamath,NeerajKA,TheCryptoDog,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,danheld,pmarca,PeterMcCormack,Blockstream,lopp,rogerkver,starkness,AriDavidPaul,jerallaire,Excellion,FrancisSuarez,brucefenton,davidmarcus,nlw,jgarzik,punk6529,cdixon,jerrybrito,ethereumJoseph,katie_haun,roasbeef,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,NickSzabo4,bendavenport,mikejcasey,billbarhydt,bhorowitz,austinhill,DTAPCAP,cburniske,kyletorpey,jessewldn",4
kyletorpey,"233318165	",55,"APompliano,BarrySilbert,tyler,balajis,saylor,jespow,cameron,SatoshiLite,NeerajKA,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,Melt_Dem,laurashin,nic__carter,cryptomanran,CoinDesk,DocumentingBTC,danheld,zhusu","pmarca,TuurDemeester,PeterMcCormack,Blockstream,lopp,adam3us,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,jackmallers,gladstein,cdixon","jerrybrito,ethereumJoseph,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,bendavenport,mikejcasey,billbarhydt,paoloardoino,austinhill,DTAPCAP","msantoriESQ,AaronvanW,TheStalwart","APompliano,BarrySilbert,tyler,balajis,saylor,jespow,cameron,SatoshiLite,NeerajKA,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,Melt_Dem,laurashin,nic__carter,cryptomanran,CoinDesk,DocumentingBTC,danheld,zhusu,pmarca,TuurDemeester,PeterMcCormack,Blockstream,lopp,adam3us,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,jackmallers,gladstein,cdixon,jerrybrito,ethereumJoseph,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,bendavenport,mikejcasey,billbarhydt,paoloardoino,austinhill,DTAPCAP,msantoriESQ,AaronvanW,TheStalwart",4
msantoriESQ,"2178858974	",54,"APompliano,novogratz,balajis,jespow,NeerajKA,CaitlinLong_,cobie,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,Melt_Dem,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,danheld,zhusu","pmarca,CathieDWood,PeterMcCormack,Blockstream,lopp,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,jgarzik,jchervinsky","jerrybrito,ethereumJoseph,katie_haun,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,austinhill,DTAPCAP","cburniske,DavidSacks,kyletorpey,jillrgunter,AaronvanW","APompliano,novogratz,balajis,jespow,NeerajKA,CaitlinLong_,cobie,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,Melt_Dem,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,danheld,zhusu,pmarca,CathieDWood,PeterMcCormack,Blockstream,lopp,adam3us,rogerkver,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,jgarzik,jchervinsky,jerrybrito,ethereumJoseph,katie_haun,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,austinhill,DTAPCAP,cburniske,DavidSacks,kyletorpey,jillrgunter,AaronvanW",4
jillrgunter,"169312819	",54,"APompliano,novogratz,tyler,jack,saylor,jespow,cameron,CaitlinLong_,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld","TuurDemeester,PeterMcCormack,lopp,starkness,AriDavidPaul,jerallaire,Excellion,brucefenton,davidmarcus,nlw,jgarzik,gladstein,jchervinsky,cdixon,natbrunell,BrianBrooksUS","jerrybrito,ethereumJoseph,katie_haun,roasbeef,VinnyLingham,muneeb,CremeDeLaCrypto,valkenburgh,AlyseKilleen,bendavenport,mikejcasey,billbarhydt,austinhill,DTAPCAP","DavidSacks,msantoriESQ,AaronvanW,TheStalwart,jessewldn,haydenzadams","APompliano,novogratz,tyler,jack,saylor,jespow,cameron,CaitlinLong_,twobitidiot,ErikVoorhees,Melt_Dem,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,TuurDemeester,PeterMcCormack,lopp,starkness,AriDavidPaul,jerallaire,Excellion,brucefenton,davidmarcus,nlw,jgarzik,gladstein,jchervinsky,cdixon,natbrunell,BrianBrooksUS,jerrybrito,ethereumJoseph,katie_haun,roasbeef,VinnyLingham,muneeb,CremeDeLaCrypto,valkenburgh,AlyseKilleen,bendavenport,mikejcasey,billbarhydt,austinhill,DTAPCAP,DavidSacks,msantoriESQ,AaronvanW,TheStalwart,jessewldn,haydenzadams",4
pwuille,"21519885	",56,"APompliano,novogratz,BarrySilbert,tyler,brian_armstrong,jack,jespow,cameron,SatoshiLite,NeerajKA,CaitlinLong_,TheCryptoDog,Cointelegraph,ErikVoorhees,Melt_Dem,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld","pmarca,LynAldenContact,TuurDemeester,PeterMcCormack,Blockstream,lopp,adam3us,starkness,AriDavidPaul,jerallaire,brucefenton,nlw,jackmallers,gladstein,natbrunell","jerrybrito,ethereumJoseph,roasbeef,morcosa,VinnyLingham,muneeb,CremeDeLaCrypto,valkenburgh,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,austinhill,DTAPCAP","cburniske,kyletorpey,msantoriESQ,jillrgunter,AaronvanW","APompliano,novogratz,BarrySilbert,tyler,brian_armstrong,jack,jespow,cameron,SatoshiLite,NeerajKA,CaitlinLong_,TheCryptoDog,Cointelegraph,ErikVoorhees,Melt_Dem,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,pmarca,LynAldenContact,TuurDemeester,PeterMcCormack,Blockstream,lopp,adam3us,starkness,AriDavidPaul,jerallaire,brucefenton,nlw,jackmallers,gladstein,natbrunell,jerrybrito,ethereumJoseph,roasbeef,morcosa,VinnyLingham,muneeb,CremeDeLaCrypto,valkenburgh,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,austinhill,DTAPCAP,cburniske,kyletorpey,msantoriESQ,jillrgunter,AaronvanW",4
AaronvanW,"1944727015	",54,"cz_binance,APompliano,jack,jespow,SatoshiLite,NeerajKA,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,Melt_Dem,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld","pmarca,LynAldenContact,TuurDemeester,PeterMcCormack,Blockstream,lopp,adam3us,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,jackmallers,gladstein,natbrunell","jerrybrito,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,NickSzabo4,bendavenport,billbarhydt,paoloardoino,austinhill,DTAPCAP","cburniske,kyletorpey,msantoriESQ,pwuille,TheStalwart","cz_binance,APompliano,jack,jespow,SatoshiLite,NeerajKA,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,BitcoinMagazine,Melt_Dem,laurashin,nic__carter,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,pmarca,LynAldenContact,TuurDemeester,PeterMcCormack,Blockstream,lopp,adam3us,AriDavidPaul,jerallaire,Excellion,brucefenton,nlw,jackmallers,gladstein,natbrunell,jerrybrito,morcosa,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,NickSzabo4,bendavenport,billbarhydt,paoloardoino,austinhill,DTAPCAP,cburniske,kyletorpey,msantoriESQ,pwuille,TheStalwart",4
TheStalwart,"14096763	",57,"novogratz,BarrySilbert,tyler,SBF_FTX,balajis,saylor,jespow,cameron,NeerajKA,CaitlinLong_,TheCryptoDog,twobitidiot,ErikVoorhees,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,zhusu","TuurDemeester,PeterMcCormack,Blockstream,adam3us,starkness,AriDavidPaul,Excellion,nlw,HesterPeirce,jgarzik,punk6529,gladstein,jchervinsky,cdixon,Scaramucci","jerrybrito,ethereumJoseph,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,billbarhydt,paoloardoino,austinhill","cburniske,kyletorpey,jillrgunter,AaronvanW,jessewldn,haydenzadams","novogratz,BarrySilbert,tyler,SBF_FTX,balajis,saylor,jespow,cameron,NeerajKA,CaitlinLong_,TheCryptoDog,twobitidiot,ErikVoorhees,laurashin,nic__carter,scottmelker,cryptomanran,CoinDesk,FEhrsam,DocumentingBTC,danheld,zhusu,TuurDemeester,PeterMcCormack,Blockstream,adam3us,starkness,AriDavidPaul,Excellion,nlw,HesterPeirce,jgarzik,punk6529,gladstein,jchervinsky,cdixon,Scaramucci,jerrybrito,ethereumJoseph,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,billbarhydt,paoloardoino,austinhill,cburniske,kyletorpey,jillrgunter,AaronvanW,jessewldn,haydenzadams",4
jessewldn,"26149295	",40,"APompliano,novogratz,BarrySilbert,SBF_FTX,jespow,NeerajKA,twobitidiot,Melt_Dem,laurashin,nic__carter,CoinDesk,FEhrsam,zhusu","pmarca,PeterMcCormack,AriDavidPaul,jerallaire,nlw,jgarzik,punk6529,jchervinsky,cdixon,fredwilson,BrianBrooksUS","ethereumJoseph,katie_haun,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,bhorowitz,austinhill,DTAPCAP","cburniske,haydenzadams","APompliano,novogratz,BarrySilbert,SBF_FTX,jespow,NeerajKA,twobitidiot,Melt_Dem,laurashin,nic__carter,CoinDesk,FEhrsam,zhusu,pmarca,PeterMcCormack,AriDavidPaul,jerallaire,nlw,jgarzik,punk6529,jchervinsky,cdixon,fredwilson,BrianBrooksUS,ethereumJoseph,katie_haun,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,valkenburgh,AlyseKilleen,NickSzabo4,bendavenport,mikejcasey,bhorowitz,austinhill,DTAPCAP,cburniske,haydenzadams",4
haydenzadams,"702654540387127296	",48,"cz_binance,APompliano,novogratz,VitalikButerin,tyler,SBF_FTX,brian_armstrong,balajis,jespow,cameron,NeerajKA,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,laurashin,cryptomanran,CoinDesk,FEhrsam","rogerkver,AriDavidPaul,jerallaire,brucefenton,nlw,HesterPeirce,jgarzik,punk6529,jchervinsky,cdixon,fredwilson,natbrunell,Scaramucci","jerrybrito,ethereumJoseph,katie_haun,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,mikejcasey,billbarhydt,austinhill,DTAPCAP","cburniske,jillrgunter,TheStalwart,jessewldn","cz_binance,APompliano,novogratz,VitalikButerin,tyler,SBF_FTX,brian_armstrong,balajis,jespow,cameron,NeerajKA,CaitlinLong_,TheCryptoDog,Cointelegraph,twobitidiot,ErikVoorhees,laurashin,cryptomanran,CoinDesk,FEhrsam,rogerkver,AriDavidPaul,jerallaire,brucefenton,nlw,HesterPeirce,jgarzik,punk6529,jchervinsky,cdixon,fredwilson,natbrunell,Scaramucci,jerrybrito,ethereumJoseph,katie_haun,VinnyLingham,muneeb,fintechfrank,CremeDeLaCrypto,mikejcasey,billbarhydt,austinhill,DTAPCAP,cburniske,jillrgunter,TheStalwart,jessewldn",4
