,date,username,sentiment_score,Ranking,aggregated_sentiment_score
0,2020-01-01,aantonop,0.0,0.57,-0.005
1,2020-01-01,alysekilleen,0.7096,0.29,0.3146
2,2020-01-01,balajis,0.5423,0.99,0.5539
3,2020-01-01,cointelegraph,-0.1199,0.06,-0.005
4,2020-01-01,danheld,0.048539999999999986,0.75,0.5
5,2020-01-01,dtapcap,0.0,0.16,-0.005
6,2020-01-01,erikvoorhees,0.0,0.94,0.1731
7,2020-01-01,excellion,0.9153,0.39,0.4883
8,2020-01-01,jespow,0.0,0.9,0.178
9,2020-01-01,jgarzik,0.0,0.28,-0.005
10,2020-01-01,lopp,0.33542,0.83,0.5
11,2020-01-01,neerajka,-0.1806,0.85,-0.5
12,2020-01-01,nlw,0.19605,0.62,0.2212
13,2020-01-01,paoloardoino,0.6808,0.23,0.207
14,2020-01-01,scottmelker,0.437075,0.01,-0.005
15,2020-01-01,tyler,0.0,0.79,0.1989
16,2020-01-01,vitalikbuterin,0.8481,0.74,0.8053
17,2020-01-02,aantonop,0.0,0.57,-0.005
18,2020-01-02,adam3us,0.16365714285714286,0.67,0.3126
19,2020-01-02,apompliano,0.325575,0.96,0.5
20,2020-01-02,balajis,0.0,0.99,0.1701
21,2020-01-02,bitcoinmagazine,-0.25,0.41,-0.1906
22,2020-01-02,brucefenton,0.16310000000000002,0.64,0.2557
23,2020-01-02,cburniske,0.4290333333333333,0.65,0.2738
24,2020-01-02,cointelegraph,0.24719000000000002,0.06,-0.005
25,2020-01-02,danheld,0.0,0.75,0.2085
26,2020-01-02,erikvoorhees,0.34,0.94,0.5
27,2020-01-02,excellion,-0.1027,0.39,-0.1962
28,2020-01-02,gladstein,0.0,0.58,-0.005
29,2020-01-02,lopp,0.16701428571428573,0.83,0.5
30,2020-01-02,mikejcasey,0.0,0.49,-0.005
31,2020-01-02,muneeb,0.0,0.6,-0.005
32,2020-01-02,paoloardoino,0.5783,0.23,0.2159
33,2020-01-02,petermccormack,0.1591,0.88,0.5
34,2020-01-02,pwuille,0.24631999999999996,0.18,-0.005
35,2020-01-02,rogerkver,0.7269,0.27,0.2634
36,2020-01-02,satoshilite,0.7964,0.71,0.6801
37,2020-01-02,scottmelker,0.4939,0.01,-0.005
38,2020-01-02,thestalwart,0.4404,0.35,0.2024
39,2020-01-02,vinnylingham,0.0,0.24,-0.005
40,2020-01-02,vitalikbuterin,0.6369,0.74,0.6495
41,2020-01-02,woonomic,0.0,0.21,-0.005
42,2020-01-03,aantonop,-0.4404,0.57,-0.2093
43,2020-01-03,apompliano,0.3327,0.96,0.5
44,2020-01-03,bitcoinmagazine,0.26982,0.41,0.1852
45,2020-01-03,blockstream,0.0,0.56,-0.005
46,2020-01-03,brucefenton,0.299025,0.64,0.2557
47,2020-01-03,cobie,0.6908,0.2,0.2055
48,2020-01-03,coinbase,0.0,0.34,-0.005
49,2020-01-03,coindesk,0.0,0.72,0.2118
50,2020-01-03,cointelegraph,0.03345,0.06,-0.005
51,2020-01-03,dtapcap,0.3062,0.16,-0.005
52,2020-01-03,erikvoorhees,0.5719,0.94,0.5942
53,2020-01-03,fintechfrank,0.24788333333333332,0.5,0.1827
54,2020-01-03,haydenzadams,0.0,0.09,-0.005
55,2020-01-03,jgarzik,-0.6318,0.28,-0.3
56,2020-01-03,mikejcasey,0.4767,0.49,0.2095
57,2020-01-03,morcosa,0.3818,0.31,0.2128
58,2020-01-03,nickszabo4,0.5415,0.32,0.2677
59,2020-01-03,novogratz,-0.34,0.92,-0.5
60,2020-01-03,petermccormack,0.0,0.88,0.1811
61,2020-01-03,rogerkver,0.0,0.27,-0.005
62,2020-01-03,sbf_ftx,0.38585,0.81,0.5
63,2020-01-03,scottmelker,0.1094,0.01,-0.005
64,2020-01-03,thestalwart,0.0,0.35,-0.005
65,2020-01-03,tuurdemeester,0.0,0.87,0.1828
66,2020-01-03,woonomic,0.8555,0.21,0.1978
67,2020-01-04,aantonop,0.3182,0.57,0.1898
68,2020-01-04,adam3us,0.15566249999999998,0.67,0.3126
69,2020-01-04,austinhill,0.0,0.22,-0.005
70,2020-01-04,bitcoinmagazine,0.31665,0.41,0.1898
71,2020-01-04,blockstream,0.8126,0.56,0.5
72,2020-01-04,brucefenton,0.5476333333333333,0.64,0.3796
73,2020-01-04,coinbase,0.0,0.34,-0.005
74,2020-01-04,coindesk,-0.54785,0.72,-0.5039
75,2020-01-04,cointelegraph,0.11248749999999999,0.06,-0.005
76,2020-01-04,danheld,-0.23835,0.75,-0.5
77,2020-01-04,excellion,0.1591,0.39,0.1909
78,2020-01-04,fintechfrank,0.0772,0.5,0.1713
79,2020-01-04,gladstein,0.91,0.58,0.5
80,2020-01-04,haydenzadams,-0.7264,0.09,-0.2046
81,2020-01-04,jackmallers,0.8402,0.3,0.3412
82,2020-01-04,lopp,0.5075000000000001,0.83,0.5135
83,2020-01-04,nickszabo4,0.0,0.32,-0.005
84,2020-01-04,nlw,0.10114999999999999,0.62,0.2212
85,2020-01-04,paoloardoino,0.9153,0.23,0.2026
86,2020-01-04,petermccormack,0.3312555555555556,0.88,0.5
87,2020-01-04,pwuille,0.7803,0.18,0.1915
88,2020-01-04,raoulgmi,0.1531,0.44,0.1774
89,2020-01-04,rogerkver,0.6712,0.27,0.2605
90,2020-01-04,scottmelker,0.23255,0.01,-0.005
91,2020-01-04,thestalwart,0.2679333333333333,0.35,0.2024
92,2020-01-04,vinnylingham,0.8591,0.24,0.205
93,2020-01-05,aantonop,-0.4939,0.57,-0.2159
